Budget Items,Seller,Quantity,Unit Price,Taxes,Shipping,Projected Sale Expenses After Taxes & Shipping
WWZMDiB 840 Pin Breadboard Jumper Wires Kit 14 Vaules 2-125mm,https://www.amazon.com/dp/B0BWGZRGYP?ref=ppx_yo2ov_dt_b_fed_asin_title,1,8.99,0,0,8.99
TXS0108E High Speed Full Duplex Logic Level Converter,https://www.amazon.com/dp/B09R1QG957?ref=ppx_yo2ov_dt_b_fed_asin_title,1,7.99,,0,7.99
Step Down Module,https://www.amazon.com/dp/B0DS7C5TK5?ref=ppx_yo2ov_dt_b_fed_asin_title,1,8.89,0,0,8.89
ELEGOO 120pcs Multicolored Dupont Wire,https://www.amazon.com/dp/B01EV70C78?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1,6.98,0,0,6.98
"20Pcs Lever Wire Connectors, 1 in 2 Out",https://www.amazon.com/dp/B0B28GYYL2?ref=ppx_yo2ov_dt_b_fed_asin_title,1,11.98,0,0,11.98
Aclorol 36V 10A 360W,https://www.amazon.com/dp/B082TQ11P2?ref=ppx_yo2ov_dt_b_fed_asin_title,1,27.99,2,0,30
"HiLetgo ILI9341 2.8"" SPI TFT LCD",https://www.amazon.com/dp/B073R7BH1B?ref=ppx_yo2ov_dt_b_fed_asin_title,1,16.39,0,0,16.39
3D Printer Part End Stop Limit Switch,https://www.amazon.com/dp/B09K7K3486?ref=ppx_yo2ov_dt_b_fed_asin_title,1,7.99,0,0,7.99
STEPPERONLINE Nema 17 Stepper Motor Bipolar 1.5A 42Ncm 42x42x38mm 1.8deg 4 Wires with 1m Cable and Connector (3 Pack),https://www.amazon.com/dp/B0B38GHRH8?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1,25.99,50,50,125.99
Subtotal:,,,,,,$552.87
Tools,,,,,,
Ferrule Crimping Tool Kit,https://www.amazon.com/dp/B0B23V7ZQJ?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,$12.99,$0,,$12.99
AstroAI Digital Multimeter Tester 2000 Counts with DC AC Voltmeter and Ohm Volt Amp Meter,https://www.amazon.com/dp/B01ISAMUA6?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,$14.59,$0,,$14.59
NEIKO 20713A Digital Tachometer,https://www.amazon.com/dp/B000I5LDVC?ref=ppx_yo2ov_dt_b_fed_asin_title,,$18.99,$0,,$18.99
"WGGE WG-015 Professional 8-inch Wire Stripper/Crimping Tool, Cable Cutter/Crimper, Wiring and Multi-Function",https://www.amazon.com/dp/B073YG65N2?ref=ppx_yo2ov_dt_b_fed_asin_title,,$8.99,$0,,$8.99
"0-1""×0.001"" Precision Dial Test Indicator Set, Adjustable Long Arm Magnetic Dial Indicator",https://www.amazon.com/gp/product/B0FK1BWQ43/ref=ox_sc_act_title_6?smid=A337K5FXDK9POM&psc=1,1,$29.00,$0.00,$0.00,$29
"NEIKO 01104A Master Allen Wrench Set, 39 Pc Ball End Hex Key Set",https://www.amazon.com/dp/B0GW2CGRR3?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,18.99,0,0,18.99
"Digital Display Soldering Iron Station Kit w 2 Helping Hands,",https://www.amazon.com/dp/B082F1WKP9?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,40,0,400,440
Bambu Lab AMS 2 Pro,https://us.store.bambulab.com/products/ams-2-pro?srsltid=AfmBOopZwkua1Zt3Oo-5CnoEjeuER0hZkm4UWqNXwoMld_wLhdXQAj-z,,,$0,0,$269
Bambu Hotend 0.6mm Hardened Steel,https://us.store.bambulab.com/products/bambu-hotend-p1-series?srsltid=AfmBOooWPXgfao6Gny0YcPXBZgXxOR9yB7mrSH3hapPnSQziDcrIfxK4,,,$0,7,$43
AMS 2 Pro Upgrade Compatibility Kit,https://us.store.bambulab.com/products/ams-2-pro-upgrade-compatibility-kit,,,$0,38.59,$100
Bambu Reusable Spool,https://us.store.bambulab.com/products/bambu-reusable-spool,,$12,$0,0,$36
Bambu P1S,Bambu Studio,,$400,$50,0,$450
MAIYUM 63-37 Rosin Core Solder Wire 0.8mm 50g Tin Lead Electrical Soldering,https://www.amazon.com/dp/B075WB98FJ?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,$1.00,$8.99,$0.00,0,$8.99
Installation Tip for M4 Heat-Set Inserts,https://www.mcmaster.com/products/92160a323/,$1.00,$9.39,$0.00,0,$9.39
Installation Tip for M5-M6 Heat-Set Inserts,https://www.mcmaster.com/products/92160a327/,$1.00,$9.39,$0.00,0,$9.39
"Husky 8"" Wrench",Home Depot,,$17.99,$1.99,0,$19.98
Subtotal:,,,,,,"$1,489.30"
Total:,,,,,,"$2,822.16"
Funds:,,,,,,"$3,000.00"
